# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
ne ma 	呢嗎	c=1 d=0.0428521 t=11992
ne ma 	呢嘛	c=1 d=1 t=6103
nei cun 	内存	c=1 d=1 t=11289
nei huan 	內環	c=1 d=1 t=5778
nei rong 	內容	c=4 d=0.00131019 t=11992
nei tui 	內推	c=0 d=0.1 t=1556
nei tui wo 	內推我	c=2 d=1 t=9652
neng 	能	c=10 d=2.00293 t=11385
neng bao 	能包	c=1 d=1 t=8267
neng bao na ge 	能包那個	c=1 d=1 t=552
neng bu 	能不	c=1 d=1 t=7728
neng bu neng 	能不能	c=1 d=1 t=10517
neng cha kan 	能查看	c=1 d=1 t=1590
neng chi 	能吃	c=1 d=1 t=6590
neng chu lai 	能初來	c=1 d=1 t=625
neng chuan 	能傳	c=1 d=1 t=4514
neng dian 	能點	c=2 d=1.92774 t=992
neng fa 	能发	c=1 d=1 t=11317
neng fang de xia 	能放得下	c=1 d=1 t=9103
neng gai 	能改	c=1 d=1 t=6687
neng jie bang 	能解綁	c=1 d=1 t=3046
neng jin qu 	能進去	c=1 d=1 t=5803
neng mian shi 	能面試	c=1 d=1 t=5580
neng na dao 	能拿到	c=1 d=1 t=4998
neng shi yong 	能使用	c=1 d=1 t=3917
neng yun xing 	能運行	c=1 d=1 t=360
ni 	你	c=73 d=1.83489 t=11992
ni 	擬	c=1 d=1 t=11833
ni ba 	你把	c=19 d=1.65878 t=11205
ni ba ma 	你爸媽	c=1 d=0.1 t=8187
ni ba ni de 	你把你的	c=1 d=1 t=374
ni ba zhe ge 	你把這個	c=1 d=1 t=7471
ni bao liu 	你保留	c=1 d=1 t=9287
ni ben di 	你本地	c=1 d=1 t=8899
ni biao mei 	你表妹	c=6 d=0.446037 t=11992
ni bu 	你不	c=1 d=0.1 t=10252
ni bu gei wo 	你不給我	c=1 d=1 t=10253
ni bu hui 	你不會	c=1 d=1 t=9238
ni bu shi 	你不是	c=8 d=0.66034 t=11992
ni bu shui jiao 	你不睡覺	c=1 d=1 t=10273
ni bu xiang ai na ge 	你不相愛那個	c=1 d=1 t=9464
ni bu yong guan 	你不用管	c=1 d=1 t=201
ni bu zhua jin 	你不抓緊	c=1 d=1 t=6999
ni cai 	你猜	c=3 d=1.00417 t=5369
ni ce xia 	你側下	c=1 d=1 t=8537
ni chi de sha 	你吃得啥	c=1 d=1 t=11235
ni chi le ma 	你吃了嗎	c=1 d=1 t=5144
ni chi sha 	你喫啥	c=2 d=1 t=10200
ni chu 	擬出	c=0 d=0.1 t=5733
ni chu li le 	擬出離了	c=1 d=1 t=5734
ni chuan de 	你傳得	c=1 d=1 t=2836
ni chuan ran 	你傳染	c=1 d=1 t=941
ni da bu kai 	你打不開	c=1 d=1 t=117
ni dai lu 	你帶路	c=1 d=0.985111 t=11992
ni dai ma 	你代碼	c=1 d=1 t=4752
ni dao 	你到	c=0 d=0.1 t=4046
ni dao na bian 	你到那邊	c=1 d=1 t=4047
ni de 	你得	c=6 d=0.271982 t=11992
ni de 	你的	c=7 d=2.46022 t=8243
ni de 	妳的	c=16 d=0.0702989 t=11992
ni de ai 	你的愛	c=0 d=0.1 t=2926
ni de ai su qian ni 	你的愛宿遷你	c=1 d=1 t=2927
ni de dai yu 	妳的待遇	c=1 d=1 t=1366
ni de jia 	妳的家	c=1 d=1 t=1419
ni de wei zhi 	妳的位置	c=1 d=1 t=1340
ni deng 	你等	c=0 d=0.00407622 t=11992
ni deng lu le mei 	你登陸了沒	c=1 d=1 t=3316
ni deng wo 	你等我	c=1 d=0.0409665 t=11992
ni dian nao 	你電腦	c=1 d=0.062662 t=11992
ni dong 	你懂	c=0 d=0.1 t=5096
ni dong le 	你懂了	c=1 d=1 t=5097
ni dong ma 	你懂吗	c=1 d=1 t=11962
ni dou 	你都	c=2 d=0.0395575 t=11992
ni er yue 	你二月	c=1 d=1 t=8175
ni fa de 	你發的	c=6 d=1.00005 t=7364
ni fang 	你放	c=1 d=0.0800583 t=11992
ni gai 	你改	c=1 d=0.101782 t=2161
ni gai xia 	你改下	c=1 d=1 t=2162
ni gan 	你敢	c=0 d=0.1 t=5774
ni gan bu gan 	你敢不敢	c=1 d=1 t=5775
ni gang 	你剛	c=0 d=0.1 t=6296
ni gang shuo 	你剛說	c=1 d=1 t=6297
ni gei wo 	你給我	c=2 d=1 t=7605
ni gei wo shuo 	你給我說	c=1 d=1 t=1520
ni gen 	你跟	c=5 d=1.01567 t=8077
ni gen ju 	你根據	c=1 d=1 t=2756
ni hai 	你還	c=2 d=1 t=11160
ni hai kan de dao bu 	你還看得到不	c=1 d=1 t=8201
ni hai mei 	你還沒	c=1 d=1 t=9431
ni hai mei nong wan 	你還沒弄完	c=1 d=1 t=2611
ni hai shi 	你還是	c=1 d=1 t=688
ni hai you ge 	你還有個	c=1 d=1 t=3471
ni hao jiu 	你好久	c=1 d=1 t=6366
ni huan ge 	你換個	c=1 d=1 t=8434
ni huan yi fu 	你換衣服	c=1 d=0.0293049 t=11992
ni hui 	妳會	c=1 d=1 t=4228
ni hui qu 	你回去	c=1 d=1 t=4559
ni hui xie 	妳會寫	c=1 d=1 t=2061
ni ji de 	你記得	c=1 d=1 t=8971
ni ji dian 	你幾點	c=2 d=1 t=7864
ni ji xu 	你繼續	c=1 d=1 t=1277
ni jia 	你家	c=1 d=1 t=4858
ni jia ban 	你加班	c=3 d=1 t=11692
ni jia le 	你加了	c=1 d=1 t=11778
ni jie shi xia 	你解释下	c=1 d=1 t=11332
ni jin 	你進	c=0 d=0.1 t=54
ni jin qu 	你進去	c=2 d=0.1 t=8698
ni jin qu le 	你進去了	c=1 d=1 t=8699
ni jiu 	你就	c=6 d=0.191134 t=11992
ni jiu jian dan 	你就簡單	c=1 d=1 t=439
ni jiu jie 	你糾結	c=1 d=1 t=4537
ni jiu shi 	你就是	c=1 d=0.201897 t=11992
ni jiu xi huan 	你就喜歡	c=1 d=1 t=4161
ni ju ran 	你居然	c=2 d=0.761432 t=11992
ni jue 	你覺	c=1 d=0.170333 t=11992
ni jue de 	你覺得	c=2 d=0.71177 t=11992
ni jue de ne 	你覺得呢	c=2 d=1.36604 t=4664
ni kan 	你看	c=7 d=1.18162 t=11013
ni kan bu lai 	你看不來	c=1 d=1 t=11014
ni kan de 	你看的	c=1 d=0.0383884 t=11992
ni kan kan 	你看看	c=4 d=0.1 t=9534
ni kan kan ni 	你看看你	c=1 d=1 t=9535
ni kan wo de 	你看我得	c=1 d=1 t=95
ni kan xia 	你看下	c=4 d=1.01477 t=11376
ni kan xia ai 	你看下唉	c=2 d=1.00075 t=6031
ni kan xie 	你看些	c=1 d=1 t=8202
ni ke 	你可	c=1 d=0.100007 t=6204
ni ke san 	你可三	c=1 d=1 t=6205
ni ke yi 	你可以	c=3 d=1.03255 t=9444
ni ke yi kan kan 	你可以看看	c=1 d=1 t=4433
ni ke yi qu 	你可以去	c=1 d=1 t=6790
ni ken ding 	你肯定	c=1 d=1 t=205
ni kuai 	你快	c=2 d=1 t=10895
ni la 	你拉	c=1 d=1 t=3021
ni lai 	你來	c=0 d=0.0151829 t=11992
ni lai 	你来	c=1 d=1 t=11757
ni lai ge 	你來個	c=1 d=0.15259 t=11992
ni lai le 	你來了	c=4 d=0.414843 t=11992
ni le 	你了	c=2 d=1 t=10106
ni lia 	你倆	c=0 d=0.1 t=7366
ni lia de 	你倆的	c=1 d=1 t=7367
ni liao jie 	你了結	c=1 d=1 t=9900
ni lou xia 	你樓下	c=1 d=1 t=7902
ni mai de 	你買的	c=2 d=0.258968 t=11992
ni mai le 	你買了	c=1 d=0.0555762 t=11992
ni mei 	你妹	c=2 d=0.933106 t=11992
ni mei 	你沒	c=1 d=1 t=4842
ni mei mei 	你妹妹	c=1 d=1 t=8245
ni mei pei zhi 	你沒配製	c=2 d=1.95123 t=60
ni mei shou dao 	你沒收到	c=1 d=1 t=6802
ni men 	你們	c=6 d=1.02516 t=10850
ni men 	妳們	c=2 d=0.655321 t=1127
ni men bu men 	你們部門	c=1 d=1 t=2084
ni men bu shi 	你們不是	c=1 d=1 t=5684
ni men gong si 	你們公司	c=2 d=1.0251 t=7799
ni na 	你那	c=9 d=1 t=11398
ni na bian 	你那邊	c=15 d=1.0004 t=11384
ni na dao le 	你拿到了	c=1 d=0.225373 t=11992
ni na ge 	你那個	c=6 d=1.00012 t=10909
ni na li 	你那裏	c=2 d=1.06788 t=8445
ni nao zi 	你腦子	c=1 d=1 t=7686
ni ne 	你呢	c=2 d=1.71892 t=1612
ni neng 	你能	c=3 d=1 t=9437
ni nong bu lai 	你弄不賴	c=1 d=1 t=2374
ni nong wan le 	你弄完了	c=1 d=1 t=5904
ni nong wan le mei 	你弄完了沒	c=1 d=1 t=2657
ni pao qu 	你跑去	c=1 d=1 t=791
ni pin xue 	你貧血	c=1 d=0.621885 t=11992
ni qian duan 	你前端	c=1 d=1 t=3210
ni qian mian 	你前面	c=1 d=1 t=11370
ni qing qiu 	你請求	c=1 d=1 t=1841
ni qing wo chi fan 	你請我吃飯	c=2 d=1.01139 t=2470
ni qu 	你去	c=3 d=1.39763 t=8105
ni qu bu 	你去不	c=1 d=1 t=8577
ni qu mian shi mei 	你去面試沒	c=1 d=1 t=6979
ni qu shi shi 	你去試試	c=2 d=1.38674 t=5474
ni que de 	你缺得	c=1 d=1 t=285
ni que ding 	你確定	c=2 d=1 t=10351
ni sha 	泥砂	c=0 d=0.1 t=9932
ni sha shi hou 	泥砂時候	c=1 d=1 t=9933
ni shang huo 	你上火	c=1 d=1 t=7583
ni she zhi le ma 	你設置了嗎	c=1 d=1 t=6749
ni shen qing na li 	你申請那裡	c=1 d=1 t=1111
ni shi 	你是	c=10 d=1.23465 t=11900
ni shi jue de 	你是覺得	c=1 d=1 t=10482
ni shi shi 	你試試	c=2 d=1 t=7570
ni shou dao 	你收到	c=1 d=1 t=6236
ni shuo 	你說	c=11 d=1.19192 t=11992
ni shuo de 	你說的	c=2 d=1.96561 t=1517
ni shuo de shi 	你說的是	c=1 d=1 t=728
ni shuo hua 	你說話	c=1 d=1 t=4397
ni shuo na ge 	你說那個	c=1 d=0.591556 t=11992
ni sou 	你搜	c=0 d=0.1 t=477
ni sou xia 	你搜下	c=3 d=1 t=10289
ni tian le ji tian 	你添了幾天	c=1 d=1 t=8152
ni tong shi 	你同事	c=1 d=1 t=730
ni tong xue 	你同學	c=2 d=1.35523 t=5960
ni wang le 	你忘了	c=1 d=1 t=9091
ni wei shen me 	你爲什麼	c=1 d=1 t=3174
ni wen 	你問	c=0 d=0.100045 t=6183
ni wen wen 	你問問	c=2 d=1 t=9137
ni wen yi ge 	你問一個	c=1 d=1 t=6184
ni wen yi xia 	你問一下	c=1 d=1 t=4643
ni wo 	你我	c=1 d=1 t=3582
ni xi huan 	你喜歡	c=1 d=1.00004 t=11816
ni xi huan de 	你喜歡的	c=1 d=1 t=10233
ni xia 	你下	c=0 d=0.0189191 t=11992
ni xia ai na ge 	你狹隘那個	c=1 d=1 t=9186
ni xia dan 	你下單	c=1 d=0.190139 t=11992
ni xian 	你先	c=12 d=0.458613 t=11992
ni xian bie huang 	你先別慌	c=1 d=0.0391639 t=11992
ni xian zai 	你現在	c=2 d=0.1 t=9660
ni xian zai gong si 	你現在公司	c=1 d=1 t=740
ni xian zai shi 	你現在是	c=1 d=1 t=9661
ni xiang 	你想	c=1 d=0.109326 t=8938
ni xiang de 	你想的	c=1 d=1 t=8939
ni xiang xue 	你想學	c=1 d=1 t=3781
ni xie de 	你寫的	c=1 d=1 t=7437
ni xin bu 	你信不	c=1 d=1 t=10107
ni xin li 	你心裏	c=1 d=0.157237 t=11992
ni yao 	你要	c=2 d=0.141564 t=11992
ni yao bu 	你要不	c=1 d=1 t=8319
ni ye 	你也	c=0 d=0.00150707 t=11992
ni ye ke yi 	你也可以	c=1 d=1 t=2402
ni ye shi 	你也是	c=3 d=0.460704 t=11992
ni ye xin 	你也信	c=1 d=0.0151463 t=11992
ni yi 	你一	c=0 d=0.1 t=5952
ni yi ge yi ge 	你一個一個	c=1 d=1 t=4010
ni yi jing 	你已經	c=1 d=1 t=5463
ni yi wei 	你以為	c=1 d=1 t=837
ni yi wen 	你一問	c=1 d=1 t=5953
ni yi zhi 	你一直	c=1 d=1 t=523
ni ying gai 	你應該	c=3 d=1 t=10344
ni yong 	你用	c=3 d=1.92774 t=8232
ni yong bu dao 	你用不到	c=1 d=1 t=4587
ni yong de 	你用的	c=6 d=1 t=9567
ni you 	你有	c=3 d=1.00002 t=5182
ni you ma 	你有吗	c=1 d=1 t=11457
ni you shi 	你有事	c=1 d=1 t=8370
ni you yan guang 	你有眼光	c=1 d=1 t=11770
ni zai 	你在	c=7 d=1.09475 t=11497
ni zai 	妳在	c=2 d=1.29598 t=497
ni zai gao sa zi 	你在搞撒子	c=1 d=1 t=5621
ni zai jiu 	你在久	c=1 d=1 t=11125
ni zai na 	你在哪	c=1 d=1 t=965
ni zai shi xia 	你在試下	c=1 d=1 t=6290
ni zai zhi xing 	妳在執行	c=1 d=1 t=101
ni zen me 	你怎麼	c=2 d=1 t=11565
ni zhao 	你找	c=1 d=1 t=9579
ni zhao pian 	你照片	c=1 d=0.0997584 t=11992
ni zhao xia 	你找下	c=1 d=1 t=3140
ni zhe 	你這	c=3 d=1 t=10910
ni zhe ge 	你這個	c=6 d=0.126609 t=11992
ni zhe yang 	你這樣	c=1 d=1 t=54
ni zhen shi 	你真是	c=1 d=1 t=2823
ni zhi bu zhi dao 	你知不知道	c=1 d=1 t=4176
ni zhi dao 	你知道	c=4 d=1.00094 t=8140
ni zhi dao bu 	你知道不	c=2 d=1.93239 t=7531
ni zhi jie 	你直接	c=3 d=1 t=10931
ni zhi qian 	你之前	c=2 d=1 t=9658
ni zhi xu yao 	你只需要	c=2 d=1 t=11146
ni zhi yao 	你只要	c=1 d=1 t=74
ni zhuan 	你轉	c=0 d=0.0154896 t=11992
ni zhuan gei wo 	你轉給我	c=1 d=0.155672 t=11992
ni zhuang 	你裝	c=1 d=1 t=6
ni zi ji 	你自己	c=4 d=1 t=10908
ni zi ji 	妳自己	c=6 d=1 t=8482
ni zi ji kan 	你自己看	c=1 d=1 t=2366
ni zou ge 	你走個	c=1 d=1 t=8554
ni zui 	你最	c=0 d=0.1 t=6964
ni zui hou ge 	你最猴哥	c=1 d=1 t=6965
ni zui jin 	你最近	c=1 d=1 t=1566
ni zuo 	你作	c=0 d=0.1 t=3253
ni zuo de 	你做的	c=1 d=1 t=5258
ni zuo le 	你作了	c=1 d=1 t=3254
ni zuo tian 	你昨天	c=1 d=1 t=10617
nian 	年	c=8 d=1 t=11908
nian ji 	年紀	c=1 d=1.09094 t=7097
nian ji da de 	年紀大的	c=1 d=1 t=7079
nian qing 	年輕	c=1 d=0.1 t=10631
nian shu 	唸書	c=1 d=1.09501 t=5978
nian tou 	年頭	c=0 d=0.00273237 t=11992
nian zhong 	年終	c=3 d=1.00158 t=7122
nian zhong jiang 	年終獎	c=2 d=1 t=9642
niao gan dan bai 	鳥苷蛋白	c=0 d=0.1 t=4882
nin 	您	c=1 d=1 t=1225
nin hao 	您好	c=1 d=1 t=10260
niu pai 	牛排	c=1 d=1 t=4146
niu pi 	牛皮	c=7 d=1.37018 t=9888
niu rou mian 	牛肉麪	c=1 d=1 t=1786
nong 	弄	c=8 d=0.316993 t=11992
nong bu liao 	弄不了	c=1 d=1 t=6418
nong chu lai 	弄出來	c=1 d=1 t=2535
nong dao 	弄到	c=1 d=1 t=2614
nong de 	弄得	c=5 d=0.47001 t=11992
nong de ba 	弄得把	c=1 d=1 t=3998
nong guo 	弄過	c=1 d=1.00004 t=11902
nong guo lai 	弄過來	c=1 d=1 t=9064
nong jin lai 	弄進來	c=1 d=1 t=216
nong le 	弄了	c=2 d=1 t=11324
nong le jiu shui 	弄了就睡	c=1 d=1 t=571
nong qi 	弄起	c=1 d=1 t=5338
nong shang qu le 	弄上去了	c=1 d=1 t=8763
nong wan 	弄完	c=4 d=1.30119 t=9130
nong wan jiu zou 	弄完就走	c=1 d=1 t=956
nong wan le 	弄完了	c=2 d=1.00003 t=8540
nong wan le ma 	弄完了嗎	c=1 d=1 t=5878
nong yi bu fen 	弄一部分	c=1 d=1 t=10161
nuan qi 	暖氣	c=0 d=0.1 t=573
nuo 	挪	c=1 d=1 t=2075
nv de 	女的	c=2 d=1 t=10681
nv peng you 	女朋友	c=1 d=0.290835 t=11992
nv sheng 	女生	c=6 d=1.19721 t=10902
nv sheng duo 	女生多	c=1 d=1 t=9492
nv tong shi 	女同事	c=2 d=1 t=7742
o 	哦	c=13 d=0.788066 t=11992
o le 	哦了	c=1 d=1 t=6077
o o 	哦哦	c=62 d=1.74519 t=11992
o o o 	哦哦哦	c=1 d=1 t=4880
ou er 	偶而	c=0 d=0.1 t=10754
ou er zou yi xia 	偶而走一下	c=1 d=1 t=10755
ou ge 	謳歌	c=1 d=1 t=6992
ou ren 	偶人	c=0 d=0.1 t=3982
pa 	怕	c=3 d=1 t=8949
pa chui zi 	怕槌子	c=1 d=1 t=6776
pa ge 	帕格	c=0 d=0.1 t=7020
pa ge ji ba 	帕格即把	c=1 d=1 t=7021
pa ta 	怕他	c=1 d=1 t=11611
pa wo 	怕我	c=1 d=1 t=3513
pagels 	pager less -SFX	c=31 d=2.8395 t=11992
pai chu 	排除	c=0 d=0.1 t=9419
pai chu diao 	排除掉	c=1 d=1 t=9419
pai chu xia lai 	排除下來	c=1 d=1 t=9420
pai dan 	派單	c=1 d=1 t=1159
pai dao 	派到	c=1 d=1 t=1484
pai de 	拍的	c=1 d=1 t=2271
pai ge zhao 	拍個照	c=1 d=1 t=10265
pai gei 	派給	c=1 d=0.100004 t=3717
pai gei ni 	派給你	c=2 d=1 t=5719
pai hao 	拍好	c=0 d=0.1 t=6977
pai xu 	排序	c=2 d=1 t=7617
pai zhao 	拍照	c=1 d=0.114177 t=11992
pan 	盤	c=6 d=1.24227 t=11992
pan duan 	判斷	c=10 d=1.0231 t=11772
pan duan de 	判斷的	c=1 d=1 t=9788
pan xing 	判刑	c=1 d=1 t=4327
pao 	拋	c=1 d=1 t=6691
pao 	跑	c=2 d=1 t=11566
pao guo lai 	跑過來	c=1 d=1 t=2014
pao na qu le 	跑哪去了	c=1 d=1 t=9262
pao qu 	跑去	c=0 d=0.1 t=790
pei 	配	c=2 d=0.619447 t=6761
pei ban 	陪伴	c=1 d=1 t=7352
pei le 	配了	c=1 d=1 t=3939
pei tao 	配套	c=0 d=0.1 t=1182
pei yang 	培養	c=1 d=1.04449 t=9957
pei yang ni 	培養你	c=1 d=1 t=9796
pei zhi 	配置	c=19 d=1.51944 t=11413
pei zhi 	配製	c=0 d=0.1 t=49
pei zhi le 	配置了	c=1 d=1 t=91
peng 	鵬	c=1 d=1 t=5447
peng you quan 	朋友圈	c=1 d=1.08511 t=2882
peng you quan de 	朋友圈的	c=1 d=1 t=2883
pi 	皮	c=2 d=1 t=8852
pi fu 	皮膚	c=2 d=1.20701 t=4083
pi pei 	匹配	c=0 d=0.1 t=3221
pi pei de 	匹配的	c=1 d=1 t=3222
pian yi 	便宜	c=2 d=1.00006 t=3728
piao 	票	c=1 d=1 t=8222
pin 	拼	c=2 d=1.03744 t=6973
pin fan 	頻繁	c=0 d=0.0489193 t=11992
pin jie 	拼接	c=1 d=1 t=889
pin xue 	貧血	c=0 d=0.0618783 t=11992
pin yin 	拼音	c=5 d=4.45437 t=2009
ping 	評	c=0 d=0.1 t=516
ping bai wu gu 	平白無故	c=1 d=0.172045 t=11992
ping ban 	平版	c=1 d=1 t=9352
ping heng 	平衡	c=1 d=1 t=10581
ping jie 	憑藉	c=1 d=1 t=4202
ping shen 	評審	c=1 d=1 t=6503
ping shi 	平時	c=2 d=1.97045 t=8413
ping tai 	平台	c=5 d=1.29406 t=11340
ping xu qiu 	評需求	c=1 d=1 t=517
po jie 	破解	c=2 d=1.956 t=6679
po le 	破了	c=0 d=0.0201897 t=11992
po zai mei jie 	迫在眉睫	c=1 d=1 t=1444
pu 	普	c=1 d=1 t=2984
pu gai 	鋪蓋	c=1 d=1 t=8915
pu tong 	普通	c=3 d=1.99005 t=4188
pu tong ban 	普通版	c=1 d=1 t=9589
qi 	其	c=2 d=1 t=10995
qi 	起	c=5 d=1 t=11213
qi bo 	汽博	c=1 d=1 t=3348
qi bu shi 	豈不是	c=1 d=1 t=871
qi dai 	期待	c=0 d=0.1 t=4304
qi dai ma 	期待嗎	c=1 d=1 t=4305
qi dian 	七點	c=1 d=0.371577 t=11992
qi dian ban 	七點半	c=1 d=1 t=1867
qi dong 	啓動	c=3 d=1 t=9157
qi fu 	欺負	c=2 d=1.0073 t=11606
qi ge 	起個	c=1 d=1 t=312
qi ge ming zi 	起個名字	c=1 d=1 t=186
qi guai 	奇怪	c=1 d=1 t=1287
qi hao 	旗號	c=1 d=1 t=9851
qi lai 	起來	c=2 d=0.1 t=8116
qi lai le 	起來了	c=1 d=1 t=8117
qi lai zhe me zao 	起來這麼早	c=1 d=1 t=4967
qi li 	起立	c=1 d=1 t=10763
qi ming zi 	起名字	c=1 d=1 t=1390
qi qi can can qi qi 	淒淒慘慘戚戚	c=1 d=1 t=4275
qi re 	奇熱	c=0 d=0.1 t=5228
qi si ren 	氣死人	c=1 d=1 t=8509
qi ta 	其他	c=12 d=0.959305 t=11992
qi ta de 	其他的	c=6 d=0.198255 t=11992
qi ta pan 	其他盤	c=1 d=0.0675424 t=11992
qi ta ren 	其他人	c=1 d=0.0288687 t=11992
qi zhong 	其中	c=2 d=1 t=9411
qian 	前	c=2 d=1 t=10056
qian 	遷	c=1 d=1 t=10370
qian 	錢	c=1 d=0.209088 t=11992
qian duan 	前端	c=10 d=1.03619 t=8746
qian ji ge 	前幾個	c=1 d=1 t=6615
qian ji tian 	前幾天	c=1 d=1 t=7646
qian ji wei 	前幾位	c=3 d=2.92669 t=7429
qian mai 	錢買	c=0 d=0.1 t=4935
qian mian 	前面	c=1 d=1 t=891
qian qi 	前期	c=0 d=0.1 t=9724
qian qi jiu zhe yang 	前期就這樣	c=1 d=1 t=9725
qian ru 	嵌入	c=3 d=1 t=9575
qian yi 	遷移	c=3 d=1.00007 t=11649
qian zhi 	前置	c=0 d=0.1 t=5993
qian zhi kuai ji 	前置會計	c=1 d=1 t=5994
qiang 	強	c=2 d=1.00003 t=10227
qiang diao 	強調	c=0 d=0.1 t=10241
qiang li tui jian 	強力推薦	c=1 d=1 t=1093
qiang po 	強迫	c=0 d=0.1 t=3345
qiang po zi ji 	強迫自己	c=1 d=1 t=3346
qiao 	敲	c=3 d=1 t=9214
qiao bu chu lai 	敲不出來	c=1 d=1 t=1897
qiao chu 	敲出	c=0 d=0.1 t=1887
qiao chu lai 	敲出來	c=1 d=1 t=1888
qiao qiao 	悄悄	c=1 d=1 t=9337
qie huan 	切換	c=3 d=2.09957 t=1804
qin 	琴	c=2 d=1.00087 t=11920
qin 	覃	c=1 d=1 t=10258
qin 	親	c=1 d=1 t=1233
qin kuai 	勤快	c=1 d=0.40657 t=11992
qin qi 	親戚	c=1 d=1 t=3460
qin shou 	親手	c=1 d=1 t=4784
qing 	請	c=1 d=0.1 t=8187
qing chi fan 	請吃飯	c=1 d=1 t=7725
qing chu 	清楚	c=2 d=1.55711 t=11589
qing chu 	清除	c=4 d=1 t=11471
qing gui 	輕軌	c=1 d=1 t=2466
qing jia 	請假	c=1 d=1 t=7836
qing jiao 	清教	c=1 d=1 t=685
qing jiao 	請教	c=1 d=1 t=686
qing kong 	清空	c=1 d=1 t=605
qing kuang 	情況	c=2 d=1 t=6881
qing liang ji 	輕量級	c=1 d=1 t=4593
qing ni ba ma 	請你爸媽	c=1 d=1 t=8188
qing ni shuo hua 	請你說話	c=1 d=1 t=1416
qing qiu 	請求	c=4 d=1 t=11838
qing qiu 	輕裘	c=1 d=1 t=1832
qing qiu yi zhan 	請求一戰	c=1 d=1 t=2871
qing song 	輕鬆	c=1 d=0.10204 t=6787
qing wen 	請問	c=3 d=1 t=9675
qing wo 	請我	c=1 d=0.100095 t=4781
qing wo chi 	請我吃	c=1 d=1 t=4782
qing wo chi sha 	請我喫啥	c=1 d=1 t=1630
qing xi 	清晰	c=1 d=1 t=1860
qiu tian 	秋天	c=1 d=1 t=4422
qu 	區	c=1 d=0.818731 t=11992
qu 	去	c=18 d=1.10736 t=10896
qu 	取	c=10 d=1.0221 t=11716
qu ba 	去吧	c=3 d=1.5572 t=11992
qu bie 	區別	c=0 d=0.1 t=9864
qu bu 	去不	c=2 d=1 t=7118
qu chi sha 	去喫啥	c=1 d=1 t=10853
qu chu 	去除	c=3 d=1 t=6053
qu dao 	取道	c=0 d=0.1 t=8012
qu dao 	渠道	c=1 d=1 t=8579
qu dao le mei 	取到了沒	c=1 d=1 t=10992
qu dao le mei 	取道了沒	c=1 d=1 t=8013
qu de 	取得	c=4 d=1.78665 t=7332
qu diao 	去掉	c=2 d=1 t=10385
qu gan 	去幹	c=0 d=0.1 t=785
qu gan ma 	去幹嗎	c=1 d=1 t=786
qu kai 	去開	c=1 d=1 t=8167
qu le 	去了	c=8 d=0.332972 t=11860
qu le yi xia 	去了一下	c=1 d=1 t=3744
qu le zai 	去了在	c=1 d=1 t=6793
qu na 	去那	c=0 d=0.1 t=7517
qu na bian 	去那邊	c=1 d=1 t=7518
qu na le 	去哪了	c=2 d=1.47473 t=7349
qu na li 	去那裏	c=0 d=0.1 t=1111
qu ni na bian 	去你那邊	c=1 d=1 t=7887
qu nian 	去年	c=4 d=1.00787 t=8274
qu shi 	趨勢	c=1 d=1 t=10387
qu shi shi 	去試試	c=3 d=2.07611 t=5776
qu shi shi 	取試試	c=1 d=1 t=5305
qu xiao 	取消	c=3 d=1.34391 t=9922
qu xin jiang 	去新疆	c=1 d=1 t=3365
qu zhe li 	去這裡	c=1 d=1 t=7252
quan 	全	c=1 d=0.00788664 t=11992
quan 	券	c=1 d=1 t=2596
quan 	權	c=1 d=1 t=5480
quan bu 	全部	c=8 d=1.00001 t=11541
quan jun fu mo 	全軍覆沒	c=1 d=1 t=3139
quan li 	權利	c=0 d=0.1 t=7386
quan liang 	全量	c=1 d=1 t=11545
quan shan le 	全刪了	c=1 d=0.0792617 t=11992
quan xian 	權限	c=5 d=3.46051 t=1823
quan zhong 	權重	c=1 d=1 t=673
que 	缺	c=5 d=1.94176 t=8266
que de 	缺得	c=0 d=0.1 t=284
que dian 	缺點	c=1 d=1 t=3895
que ding 	確定	c=1 d=1 t=11653
que ding yi xia 	確定一下	c=1 d=1 t=8518
que le 	缺了	c=1 d=0.1 t=4211
que le ge 	缺了個	c=1 d=1 t=4212
que ren 	確認	c=1 d=0.1 t=10260
que shi 	確實	c=5 d=0.789266 t=11992
que shi 	確是	c=10 d=0.22721 t=11992
que shi shi zhe yang 	確是是這樣	c=1 d=0.0184074 t=11992
qun 	羣	c=1 d=1 t=6935
ran hou 	然後	c=15 d=1.0003 t=10988
ran jia ba 	冉家壩	c=1 d=1 t=11219
rang 	讓	c=2 d=0.10002 t=10928
rang ni 	讓你	c=3 d=1 t=10580
rang ta 	讓他	c=2 d=1 t=10656
rang wo lai 	讓我來	c=0 d=0.1 t=8869
rang yi xia 	讓一下	c=1 d=1 t=10929
rang zhe ge 	讓這個	c=2 d=1 t=10546
re 	熱	c=1 d=1 t=2502
re le 	熱了	c=1 d=1 t=7582
re men 	熱門	c=1 d=1 t=9620
ren 	人	c=9 d=0.120419 t=11476
ren 	任	c=25 d=1.56377 t=11943
ren cai 	人材	c=1 d=1 t=7679
ren chu lai 	認出來	c=1 d=1 t=2194
